134,55.782524,12.524366,1375270223,1375314300
18,55.753710,12.520180,1375267528,1375269312
134,55.782541,12.524155,1375118485,1375264581
69,55.644170,12.647179,1375093804,1375112196
134,55.782619,12.524404,1375043782,1375090219
117,55.619110,12.622625,1375041013,1375041976
69,55.644148,12.647121,1375009217,1375039228
117,55.619206,12.626259,1374977110,1375007411
117,55.619243,12.626208,1374967810,1374971792
43,55.630415,12.592959,1374960622,1374961815
117,55.619265,12.626216,1374930045,1374955211
71,55.566176,12.578449,1374925802,1374929430
22,55.574061,12.571606,1374922819,1374924617
71,55.566199,12.579145,1374917436,1374921034
117,55.619250,12.626209,1374858008,1374915975
42,55.625095,12.602267,1374849033,1374857396
134,55.782625,12.524347,1374843954,1374846597
80,55.771667,12.503254,1374837300,1374842158
117,55.619240,12.626209,1374804352,1374834952
117,55.619300,12.626167,1374777353,1374797152
65,55.661866,12.562537,1374757698,1374761290
6,56.152337,10.200691,1374741493,1374742396
100,56.157760,9.954866,1374678500,1374739692
63,57.268731,9.622345,1374593179,1374652391
64,57.276641,9.604587,1374585790,1374590313
63,57.268777,9.622267,1374575896,1374584001
67,57.261284,9.629001,1374574103,1374575003
63,57.268710,9.622336,1374547095,1374573198
67,57.261284,9.629001,1374531093,1374533793
63,57.268671,9.622300,1374511288,1374530183
67,57.261654,9.628281,1374508593,1374510373
63,57.268725,9.622314,1374493289,1374507685
63,57.268952,9.622559,1374446511,1374447411
63,57.268752,9.622393,1374431223,1374442022
96,57.253934,9.618648,1374429394,1374430314
63,57.268718,9.622303,1374412311,1374427803
63,57.268626,9.622546,1374404212,1374407806
96,57.253934,9.618648,1374397914,1374401520
67,57.262762,9.626118,1374394314,1374397014
96,57.256141,9.620515,1374387114,1374393414
63,57.268731,9.622423,1374375413,1374386217
67,57.262762,9.626118,1374370914,1374371814
96,57.253934,9.618648,1374367314,1374370014
63,57.268723,9.622351,1374316906,1374364610
67,57.261247,9.628743,1374274124,1374302024
96,57.253937,9.618684,1374267824,1374272324
67,57.262870,9.626037,1374266024,1374266924
63,57.268838,9.622528,1374257020,1374262416
67,57.261242,9.628743,1374250724,1374255224
63,57.268797,9.622117,1374245321,1374248022
96,57.253937,9.618684,1374241704,1374242624
67,57.261242,9.628743,1374239924,1374240824
63,57.268698,9.622254,1374233621,1374239022
96,57.253937,9.618684,1374198254,1374223454
96,57.257590,9.622361,1374190153,1374193755
67,57.261242,9.628743,1374185654,1374187454
63,57.268709,9.622297,1374180253,1374184746
96,57.253937,9.618684,1374178454,1374179354
63,57.268647,9.622072,1374175522,1374177547
96,57.253937,9.618684,1374172154,1374173954
64,57.273545,9.604376,1374152507,1374155724
96,57.253937,9.618684,1374147620,1374148520
67,57.261242,9.628743,1374142220,1374143120
96,57.253937,9.618684,1374133220,1374135900
67,57.261242,9.628743,1374131400,1374132320
96,57.253937,9.618684,1374115220,1374128450
67,57.261242,9.628743,1374106220,1374109820
63,57.268748,9.622312,1374088225,1374105318
67,57.261242,9.628743,1374084620,1374087320
96,57.253937,9.618684,1374078320,1374081920
63,57.268643,9.622872,1374064814,1374072915
100,56.157774,9.954973,1374016200,1374057610
100,56.157748,9.954941,1373992241,1374001200
101,56.156328,9.944648,1373982916,1373984720
100,56.157756,9.954961,1373924165,1373980200
100,56.157748,9.955002,1373912462,1373915794
7,55.663447,12.513627,1373893572,1373895375
8,55.664618,12.512136,1373890863,1373892663
139,55.629331,12.645922,1373887271,1373889069
117,55.619231,12.626207,1373865662,1373884586
117,55.619214,12.626254,1373853062,1373860262
117,55.619290,12.626200,1373834176,1373844062
112,55.610215,12.620823,1373832382,1373833282
117,55.619268,12.626183,1373809861,1373829662
117,55.619221,12.626209,1373800861,1373804461
117,55.619250,12.626234,1373752854,1373777155
140,55.638269,12.636389,1373740251,1373748368
69,55.644242,12.647150,1373711458,1373736649
117,55.619256,12.626233,1373666427,1373706045
119,55.658522,12.284580,1373661938,1373664641
117,55.619285,12.626209,1373652927,1373659227
69,55.644286,12.647279,1373624127,1373652027
134,55.782624,12.524318,1373406316,1373619627
69,55.644288,12.647271,1373363992,1373400904
117,55.619255,12.626212,1373314653,1373363092
117,55.619283,12.626192,1372522528,1372537867
134,55.782591,12.524237,1372424400,1372520796
134,55.782618,12.524309,1372195867,1372419947
134,55.782585,12.524399,1372016841,1372147290
134,55.782629,12.524309,1371483367,1371736591
100,56.157861,9.955016,1371305168,1371472588
142,56.169506,9.549860,1371287105,1371302467
58,56.154943,9.903520,1371283568,1371285367
100,56.157837,9.955004,1371231372,1371282668
134,55.782666,12.524252,1371216068,1371218767
134,55.782648,12.524286,1371065944,1371211569
74,55.758552,12.479195,1371055143,1371064143
134,55.782629,12.524275,1370904842,1371053344
56,55.677532,12.577419,1370879263,1370885952
134,55.782623,12.524316,1370802240,1370877832
117,55.619343,12.626190,1370793222,1370799521
42,55.625091,12.602186,1370783332,1370792322
134,55.782628,12.524307,1370699374,1370781521
8,55.665824,12.512063,1370689484,1370691279
117,55.619211,12.626307,1370659775,1370685587
48,55.598138,12.634284,1370645368,1370657974
47,55.584576,12.630133,1370638174,1370642676
117,55.619238,12.626165,1370624668,1370636369
47,55.584722,12.628374,1370612980,1370622879
117,55.619270,12.626165,1370611169,1370612069
134,55.782636,12.524279,1370447775,1370608468
117,55.619221,12.626251,1370444173,1370445074
68,55.648542,12.640614,1370436088,1370443283
117,55.619220,12.626251,1370361373,1370434242
42,55.624753,12.604329,1370354179,1370360444
134,55.782625,12.524349,1370190722,1370351080
80,55.772509,12.511902,1370181722,1370189821
134,55.780566,12.523841,1370179841,1370180836
54,55.681771,12.584933,1370127758,1370134056
134,55.782629,12.524311,1370034094,1370123256
62,55.681785,12.531024,1370030458,1370031385
134,55.782625,12.524262,1369994485,1370019685
80,55.770221,12.504535,1369991785,1369993598
134,55.782634,12.524295,1369763339,1369990905
80,55.771231,12.506954,1369324313,1369326900
74,55.758711,12.479843,1368647100,1368648020
117,55.619232,12.626179,1368639016,1368641716
44,55.632738,12.595035,1368634517,1368637215
134,55.782641,12.524221,1368392222,1368631815
117,55.619226,12.626179,1368384122,1368390422
133,55.660383,12.604491,1368376020,1368383221
117,55.619235,12.626306,1368369723,1368375123
42,55.625088,12.601947,1368358931,1368368133
117,55.619267,12.626180,1368304613,1368358023
55,55.676491,12.580545,1368300422,1368302831
30,55.675933,12.568739,1368297721,1368299540
117,55.619202,12.626178,1368289598,1368294997
10,55.788389,12.533083,1367960400,1367974532
134,55.782623,12.524267,1367869081,1367959624
117,55.619233,12.626181,1367854701,1367865482
134,55.782636,12.524218,1367784501,1367850600
117,55.619236,12.626248,1367765596,1367782695
112,55.611674,12.620824,1367758401,1367764701
117,55.619404,12.626000,1367755688,1367757485
42,55.625410,12.601004,1367752991,1367753901
125,55.630126,12.577273,1367744902,1367751191
117,55.619067,12.626293,1367683500,1367743992
134,55.782618,12.524256,1367430775,1367680969
60,55.706901,12.561882,1367428126,1367429769
111,55.698175,12.569792,1367408260,1367425394
134,55.782609,12.524274,1367322300,1367405551
0,55.721898,12.446072,1367320040,1367320942
134,55.782609,12.524281,1367267528,1367318240
117,55.619217,12.626263,1367250419,1367262119
133,55.662562,12.604648,1367246818,1367248638
54,55.684747,12.588104,1367242319,1367245018
134,55.782629,12.524240,1367178409,1367237819
117,55.619217,12.626180,1367115398,1367176599
56,55.680301,12.579624,1367095599,1367112712
117,55.619235,12.626208,1367067710,1367092897
133,55.663161,12.604478,1367059612,1367066799
117,55.619235,12.626206,1366990970,1367057798
